db,spec,trade,0,1,2,3,4,5,6
GDELT,GD-Export,Trade_Exports,"0.010**
(0.005)","0.009*
(0.005)","0.006
(0.006)","0.006
(0.006)","0.006
(0.005)","0.007
(0.005)","0.008
(0.006)"
GDELT,GD-Export,Trade_Imports,"0.011
(0.008)","0.011
(0.007)","0.009
(0.007)","0.011
(0.008)","0.010
(0.007)","0.012*
(0.007)","0.013**
(0.007)"
GDELT,GD-Export,Trade_Total,"0.009*
(0.005)","0.009*
(0.005)","0.007
(0.005)","0.006
(0.005)","0.008
(0.005)","0.008
(0.005)","0.009*
(0.005)"
GDELT,GD-Import,Trade_Exports,"0.014***
(0.005)","0.014***
(0.005)","0.012**
(0.005)","0.011*
(0.006)","0.013**
(0.005)","0.013***
(0.005)","0.015***
(0.005)"
GDELT,GD-Import,Trade_Imports,"0.018**
(0.008)","0.016**
(0.007)","0.015**
(0.007)","0.015**
(0.008)","0.015*
(0.008)","0.021***
(0.008)","0.017**
(0.007)"
GDELT,GD-Import,Trade_Total,"0.014**
(0.006)","0.014***
(0.005)","0.013***
(0.005)","0.011**
(0.005)","0.014**
(0.005)","0.016***
(0.005)","0.015***
(0.005)"
GDELT,GD-Total,Trade_Exports,"0.013***
(0.005)","0.013**
(0.005)","0.010**
(0.005)","0.009
(0.006)","0.011**
(0.006)","0.011**
(0.005)","0.011**
(0.006)"
GDELT,GD-Total,Trade_Imports,"0.016*
(0.009)","0.015*
(0.008)","0.014*
(0.008)","0.015*
(0.008)","0.013*
(0.008)","0.018**
(0.008)","0.016**
(0.007)"
GDELT,GD-Total,Trade_Total,"0.013**
(0.006)","0.012**
(0.005)","0.011**
(0.005)","0.010*
(0.006)","0.012**
(0.006)","0.012**
(0.006)","0.012**
(0.005)"
ICEWS,IW-Export,Trade_Exports,"0.006
(0.005)","0.003
(0.005)","0.002
(0.003)","0.001
(0.005)","-0.001
(0.004)","0.000
(0.005)","0.004
(0.005)"
ICEWS,IW-Export,Trade_Imports,"-0.003
(0.007)","-0.001
(0.006)","-0.000
(0.006)","-0.002
(0.007)","-0.002
(0.009)","-0.001
(0.008)","-0.001
(0.008)"
ICEWS,IW-Export,Trade_Total,"0.001
(0.005)","-0.000
(0.004)","0.000
(0.003)","-0.001
(0.004)","-0.002
(0.005)","-0.002
(0.005)","0.001
(0.005)"
